HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Age,Answer.Education,Answer.Gender,Answer.Race,Answer.surveycode
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,30BUDKLTXEFUX90MWLVEA4SMMTC5EH,AYRWBQRHMUWWQ,Approved,Fri May 06 09:11:39 PDT 2016,Fri May 06 09:14:08 PDT 2016,Fri May 06 13:14:08 PDT 2016,2016-05-06 20:17:36 UTC,NA,NA,149,100% (2/2),100% (2/2),100% (1/1),40,select one,Male,African American,ntJ6bhnZlI
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,30X31N5D64ASDYHLSC607WCNFYQASX,A3JN2PPWSAPSFI,Approved,Fri May 06 09:29:15 PDT 2016,Fri May 06 09:40:13 PDT 2016,Fri May 06 13:40:13 PDT 2016,2016-05-06 20:42:36 UTC,NA,NA,658,100% (1/1),100% (1/1),100% (1/1),53,select one,Male,Caucasian,PQvAxUhCdB
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,317HQ483I8CA338EW4HRP0Q057XIN7,AVJUIF9QHQRY8,Approved,Fri May 06 10:22:15 PDT 2016,Fri May 06 10:31:40 PDT 2016,Fri May 06 14:31:40 PDT 2016,2016-05-06 21:32:36 UTC,NA,NA,565,100% (1/1),100% (1/1),100% (1/1),32,Some college/ no degree,Female,African American,LKSvjqBG6X
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,31EUONYN2WNX7USQWQGNJEGZ3KZOVS,A18ZOLS2FGK8H7,Approved,Fri May 06 10:33:48 PDT 2016,Fri May 06 11:00:29 PDT 2016,Fri May 06 15:00:29 PDT 2016,Fri May 06 14:50:10 PDT 2016,NA,NA,1601,100% (1/1),100% (1/1),100% (1/1),40,Graduate degree (Masters/ Doctorate/ etc.),Male,Caucasian,XtLxbEqwgc
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,31QTRG6Q2UXWWOZWG1GMFDPJV5GPY0,A3BZVFD82AVLT8,Approved,Fri May 06 09:09:52 PDT 2016,Fri May 06 09:23:35 PDT 2016,Fri May 06 13:23:35 PDT 2016,2016-05-06 20:27:36 UTC,NA,NA,823,100% (1/1),100% (1/1),100% (1/1),27,Associates degree,Female,Caucasian,R3epYQ2nhr
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,32UTUBMZ7HGDO03HSLB1DUG0WLGBVB,AYNUK54JG6E2H,Approved,Fri May 06 10:23:12 PDT 2016,Fri May 06 10:50:41 PDT 2016,Fri May 06 14:50:41 PDT 2016,Fri May 06 14:50:16 PDT 2016,NA,NA,1649,100% (1/1),100% (1/1),100% (1/1),34,Bachelors degree,Female,Caucasian,vcGyZ8mYFa
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,32VNZTT0A8O1AU1R4MW44JLR1M74RO,A2YBZFSUD5OP7W,Approved,Fri May 06 09:10:58 PDT 2016,Fri May 06 09:15:31 PDT 2016,Fri May 06 13:15:31 PDT 2016,2016-05-06 20:17:36 UTC,NA,NA,273,100% (1/1),100% (1/1),100% (1/1),29,Some college/ no degree,Female,Caucasian,7jseTlgSsz
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,32VNZTT0A8O1AU1R4MW44JLR1MLR4P,A1GVGOWYO5DLZO,Approved,Fri May 06 10:25:38 PDT 2016,Fri May 06 10:31:37 PDT 2016,Fri May 06 14:31:37 PDT 2016,2016-05-06 21:32:36 UTC,NA,NA,359,100% (1/1),100% (1/1),100% (1/1),35,Bachelors degree,Male,Caucasian,zDeOZ4iWqo
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,32Z9ZLUT1M4SPTX6R1ZJ4DPQV48OHK,A87D3K9YVKTQ7,Approved,Fri May 06 09:11:56 PDT 2016,Fri May 06 09:25:35 PDT 2016,Fri May 06 13:25:35 PDT 2016,2016-05-06 20:27:36 UTC,NA,NA,819,100% (1/1),100% (1/1),100% (1/1),33,Associates degree,Female,Caucasian,xsx9Dydg8E
3FO95NVK5CKIPV584LNKD26D066RSX,3ZYIH7REHFUYOPMHT2XD8M7SYCOO1B,Auction War - A Negotiation Game,Play a simple and quick negotiation game,game/ negotiation task/ questionnaires/ chrome web browser,$0.50 ,Fri May 06 09:09:26 PDT 2016,100,BatchId:2386401;,1800,14400,Fri May 06 14:52:02 PDT 2016,NA,NA,33F859I567X86Z8XNWUXYTPRO5XBHB,A11SMS4CF6W26Y,Approved,Fri May 06 09:37:48 PDT 2016,Fri May 06 09:42:15 PDT 2016,Fri May 06 13:42:15 PDT 2016,2016-05-06 20:42:36 UTC,NA,NA,267,100% (1/1),100% (1/1),100% (1/1),27,Some High School,Female,Caucasian,9zeHVMNNhE
