"user_id (S)","game (S)","questionnaire (S)","quiz (S)","reward (S)","role (S)"
"A3D9X7FW21C7XP","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,2,0]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,2],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,2],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,2],\""2\"":[2,0,0]},\""\""]}""]","{""0"":{""0"":""disagree"",""1"":""strongly disagree"",""2"":""disagree"",""3"":""agree"",""4"":""strongly disagree"",""5"":""neutral"",""6"":""strongly disagree"",""7"":""disagree"",""8"":""strongly agree"",""9"":""agree"",""10"":""neutral"",""11"":""disagree"",""12"":""agree"",""13"":""agree"",""14"":""neutral"",""15"":""neutral"",""16"":""disagree"",""17"":""disagree"",""18"":""agree"",""19"":""strongly disagree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","l2KdsfDgph","type-0"
"A2TFMDDIPNF02W","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,2],\""2\"":[2,2,0]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,2],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,2],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""accept\"",\""params\"":[]}""]","{""0"":{""0"":""disagree"",""1"":""neutral"",""2"":""disagree"",""3"":""agree"",""4"":""disagree"",""5"":""neutral"",""6"":""agree"",""7"":""disagree"",""8"":""strongly agree"",""9"":""agree"",""10"":""disagree"",""11"":""neutral"",""12"":""disagree"",""13"":""agree"",""14"":""neutral"",""15"":""strongly agree"",""16"":""strongly disagree"",""17"":""neutral"",""18"":""agree"",""19"":""strongly disagree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","Zc8laLQ6Lv","type-0"
"A2FHAL8CXRSJPE","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,2],\""2\"":[2,2,0]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,2],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[2,2],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[2,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,0],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}""]","{""0"":{""0"":""agree"",""1"":""agree"",""2"":""agree"",""3"":""neutral"",""4"":""agree"",""5"":""neutral"",""6"":""disagree"",""7"":""agree"",""8"":""neutral"",""9"":""agree"",""10"":""disagree"",""11"":""agree"",""12"":""agree"",""13"":""agree"",""14"":""agree"",""15"":""neutral"",""16"":""disagree"",""17"":""agree"",""18"":""agree"",""19"":""agree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","HHWSrrwsiF","type-0"
"A1K75ALN5NQIJM","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,2],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,0]},\""\""]}""]","{""0"":{""0"":""disagree"",""1"":""neutral"",""2"":""agree"",""3"":""agree"",""4"":""disagree"",""5"":""disagree"",""6"":""disagree"",""7"":""neutral"",""8"":""agree"",""9"":""agree"",""10"":""disagree"",""11"":""neutral"",""12"":""disagree"",""13"":""disagree"",""14"":""neutral"",""15"":""disagree"",""16"":""disagree"",""17"":""neutral"",""18"":""agree"",""19"":""disagree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","xCUjlF5g4l","type-0"
"A2BVUVKIS50IR8","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[2,2],\""2\"":[2,0,0]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,2],\""2\"":[2,0,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,0,0]},\""\""]}""]","{""0"":{""0"":""strongly agree"",""1"":""neutral"",""2"":""disagree"",""3"":""agree"",""4"":""disagree"",""5"":""strongly disagree"",""6"":""strongly disagree"",""7"":""strongly disagree"",""8"":""neutral"",""9"":""neutral"",""10"":""agree"",""11"":""disagree"",""12"":""disagree"",""13"":""agree"",""14"":""neutral"",""15"":""strongly disagree"",""16"":""agree"",""17"":""agree"",""18"":""strongly agree"",""19"":""strongly disagree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","rfaomdRpaG","type-0"
"AZ223PTWQ4AYF","*","{""0"":{""0"":""disagree"",""1"":""agree"",""2"":""agree"",""3"":""agree"",""4"":""strongly disagree"",""5"":""neutral"",""6"":""disagree"",""7"":""strongly disagree"",""8"":""strongly agree"",""9"":""agree"",""10"":""agree"",""11"":""strongly disagree"",""12"":""agree"",""13"":""disagree"",""14"":""agree"",""15"":""disagree"",""16"":""strongly disagree"",""17"":""disagree"",""18"":""strongly agree"",""19"":""strongly disagree""},""1"":{""0"":""1"",""1"":""1"",""2"":""9"",""3"":""9"",""4"":""9"",""5"":""9""}}","[""high"",""med"",""low""]","*","type-0"
"AYQH26R4KXW2K","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,2],\""2\"":[2,2,0]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[2,0],\""2\"":[0,0,2]},\""\""]}"",""{\""action\"":\""accept\"",\""params\"":[]}""]","{""0"":{""0"":""disagree"",""1"":""strongly disagree"",""2"":""neutral"",""3"":""agree"",""4"":""disagree"",""5"":""agree"",""6"":""neutral"",""7"":""strongly disagree"",""8"":""strongly agree"",""9"":""agree"",""10"":""agree"",""11"":""disagree"",""12"":""disagree"",""13"":""neutral"",""14"":""strongly disagree"",""15"":""strongly agree"",""16"":""neutral"",""17"":""strongly disagree"",""18"":""strongly agree"",""19"":""disagree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","uqoAGtXLOt","type-0"
"AJFCCRG1TM3WT","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},null]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,2],\""2\"":[2,0,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[2],\""1\"":[0,0],\""2\"":[2,0,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[2,0],\""2\"":[2,0,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[2,0],\""2\"":[2,2,0]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[2,2,2]},\""\""]}"",""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,2],\""2\"":[2,2,0]},\""\""]}""]","{""0"":{""0"":""neutral"",""1"":""agree"",""2"":""disagree"",""3"":""agree"",""4"":""neutral"",""5"":""neutral"",""6"":""disagree"",""7"":""disagree"",""8"":""disagree"",""9"":""neutral"",""10"":""disagree"",""11"":""agree"",""12"":""disagree"",""13"":""agree"",""14"":""disagree"",""15"":""neutral"",""16"":""disagree"",""17"":""neutral"",""18"":""neutral"",""19"":""agree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","hQvwBLI8Nk","type-0"
"ADKKDK6P4MS1Z","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[0,0],\""2\"":[0,0,2]},null]}"",""{\""action\"":\""accept\"",\""params\"":[]}""]","{""0"":{""0"":""neutral"",""1"":""disagree"",""2"":""strongly agree"",""3"":""neutral"",""4"":""agree"",""5"":""agree"",""6"":""agree"",""7"":""disagree"",""8"":""strongly agree"",""9"":""strongly agree"",""10"":""neutral"",""11"":""neutral"",""12"":""disagree"",""13"":""disagree"",""14"":""neutral"",""15"":""agree"",""16"":""neutral"",""17"":""disagree"",""18"":""disagree"",""19"":""strongly disagree""},""1"":{""0"":""9"",""1"":""5"",""2"":""5"",""3"":""9"",""4"":""9"",""5"":""1""}}","[""high"",""med"",""low""]","cdEOfHmlpE","type-0"
"A1VJJZUAXFKIOC","[""{\""action\"":\""submit\"",\""params\"":[{\""0\"":[0],\""1\"":[2,2],\""2\"":[2,2,2]},null]}"",""{\""action\"":\""accept\"",\""params\"":[]}""]","{""0"":{""0"":""strongly agree"",""1"":""strongly agree"",""2"":""strongly agree"",""3"":""strongly agree"",""4"":""agree"",""5"":""strongly agree"",""6"":""strongly agree"",""7"":""agree"",""8"":""agree"",""9"":""strongly agree"",""10"":""agree"",""11"":""neutral"",""12"":""agree"",""13"":""agree"",""14"":""neutral"",""15"":""agree"",""16"":""agree"",""17"":""disagree"",""18"":""disagree"",""19"":""neutral""},""1"":{""0"":""1"",""1"":""1"",""2"":""6"",""3"":""8"",""4"":""9"",""5"":""5""}}","[""high"",""med"",""low""]","IOgMkzXhbR","type-0"
